4 8 8

13	5	5	5	5	13	5	5	
5	5	13	13	5	5	13	13	
5	5	5	5	5	5	5	5	
5	13	5	5	13	13	5	5	
5	5	5	5	5	5	5	13	
5	5	13	13	5	5	5	5	
5	5	5	5	5	13	13	5	
13	5	5	13	5	5	5	13	

13	13	5	5	5	5	13	13	
5	5	5	13	13	5	5	5	
5	13	5	5	5	5	5	5	
13	5	5	13	13	5	13	13	
5	5	13	5	5	5	5	5	
5	5	5	5	5	5	13	5	
5	13	13	5	5	13	5	13	
5	5	5	5	5	5	5	5	

13	5	5	5	5	13	13	5	
5	5	13	13	5	5	5	5	
5	5	5	5	13	5	5	13	
5	13	5	5	5	5	5	5	
13	5	5	5	13	13	5	5	
5	5	13	5	5	5	5	13	
5	13	5	5	13	5	5	5	
5	5	5	13	5	5	13	5	

13	5	5	5	13	5	13	5	
5	13	5	5	5	5	5	5	
5	5	5	13	5	13	5	5	
13	13	5	5	13	5	13	13	
5	5	5	5	5	5	5	5	
5	13	13	5	13	5	13	5	
5	5	5	5	5	5	5	13	
5	13	13	5	13	13	5	5	

