8 8 8

14	14	14	14	14	0	0	0	
14	14	14	14	14	14	0	0	
14	14	14	14	14	14	14	0	
14	0	7	7	0	7	0	0	
14	7	7	12	7	13	13	13	
15	15	15	15	15	15	15	0	
15	15	15	15	15	13	0	0	
0	15	0	0	15	0	0	0	

14	14	14	14	14	0	0	0	
14	14	14	14	14	14	0	0	
14	14	14	14	14	14	14	0	
14	0	7	7	0	7	0	0	
14	7	7	12	7	13	13	13	
15	15	15	15	15	15	15	0	
15	15	15	15	15	13	0	0	
0	15	0	0	0	15	0	0	

0	0	14	14	14	14	0	0	
0	14	14	14	14	14	14	0	
14	14	14	14	14	14	14	14	
14	14	0	7	7	0	14	13	
14	7	7	7	12	7	7	13	
14	14	15	15	15	15	14	15	
0	15	15	15	15	15	15	0	
0	15	0	0	0	15	0	0	

0	0	14	14	14	14	0	0	
0	14	14	14	14	14	14	0	
14	14	14	14	14	14	14	14	
14	14	0	7	7	0	14	13	
14	7	7	7	12	7	7	13	
14	14	15	15	15	15	14	15	
0	15	15	15	15	15	15	0	
0	0	15	0	0	0	15	0	

0	0	0	14	14	14	14	14	
0	0	14	14	14	14	14	14	
0	14	14	14	14	14	14	14	
0	0	7	0	7	7	0	14	
13	13	13	7	12	7	7	14	
0	15	15	15	15	15	15	15	
0	0	13	15	15	15	15	15	
0	0	0	15	0	0	15	0	

0	0	0	14	14	14	14	14	
0	0	14	14	14	14	14	14	
0	14	14	14	14	14	14	14	
0	0	7	0	7	7	0	14	
13	13	13	7	12	7	7	14	
0	15	15	15	15	15	15	15	
0	0	13	15	15	15	15	15	
0	0	15	0	0	0	15	0	

0	0	14	14	14	14	0	0	
0	14	14	14	14	14	14	0	
14	14	14	14	14	14	14	14	
14	14	14	14	14	14	14	13	
14	14	14	14	14	14	14	13	
0	14	14	14	14	14	14	15	
0	15	14	15	15	14	15	0	
0	0	15	0	0	0	15	0	

0	0	14	14	14	14	0	0	
0	14	14	14	14	14	14	0	
14	14	14	14	14	14	14	14	
14	14	14	14	14	14	14	13	
14	14	14	14	14	14	14	13	
0	14	14	14	14	14	14	15	
0	15	14	15	15	14	15	0	
0	15	0	0	0	15	0	0	

